date,open
2016/5/7,459.64
2016/5/8,458.43
2016/5/9,458.21
2016/5/10,460.52
2016/5/11,450.86
2016/5/12,452.45
2016/5/13,454.85
2016/5/14,455.82
2016/5/15,455.76
2016/5/16,457.59
2016/5/17,454.01
2016/5/18,453.69
2016/5/19,454.52
2016/5/20,437.79
2016/5/21,442.97
2016/5/22,443.22
2016/5/23,439.35
2016/5/24,444.29
2016/5/25,446.06
2016/5/26,449.67
2016/5/27,453.52
2016/5/28,473.03
2016/5/29,527.48
2016/5/30,528.47
2016/5/31,534.19
2016/6/1,531.11
2016/6/2,536.52
2016/6/3,537.68
2016/6/4,569.71
2016/6/5,573.31
2016/6/6,574.6
2016/6/7,585.45
2016/6/8,577.17
2016/6/9,582.2
2016/6/10,575.84
2016/6/11,578.67
2016/6/12,609.68
2016/6/13,671.65
2016/6/14,704.5
2016/6/15,685.68
2016/6/16,696.52
2016/6/17,768.49
2016/6/18,748.76
2016/6/19,756.69
2016/6/20,763.93
2016/6/21,735.88
2016/6/22,665.91
2016/6/23,597.44
2016/6/24,625.58
2016/6/25,665.28
2016/6/26,665.93
2016/6/27,629.35
2016/6/28,658.1
2016/6/29,644.12
2016/6/30,640.59
2016/7/1,672.52
2016/7/2,676.73
2016/7/3,704.97
2016/7/4,658.8
2016/7/5,683.21
2016/7/6,670.42
2016/7/7,678.09
2016/7/8,640.69
2016/7/9,666.38
2016/7/10,650.6
2016/7/11,648.48
2016/7/12,648.28
2016/7/13,664.8
2016/7/14,652.92
2016/7/15,659.17
2016/7/16,663.78
2016/7/17,661.99
2016/7/18,679.81
2016/7/19,672.74
2016/7/20,672.81
2016/7/21,665.23
2016/7/22,664.92
2016/7/23,650.73
2016/7/24,655.41
2016/7/25,661.26
2016/7/26,654.23
2016/7/27,651.63
2016/7/28,654.49
2016/7/29,655.11
2016/7/30,657.01
2016/7/31,655.1
2016/8/1,624.6
2016/8/2,606.4
2016/8/3,548.66
2016/8/4,566.33
2016/8/5,578.28
2016/8/6,575.03
2016/8/7,587.77
2016/8/8,592.74
2016/8/9,591.04
2016/8/10,587.65
2016/8/11,592.12
2016/8/12,588.8
2016/8/13,587.36
2016/8/14,585.59
2016/8/15,570.49
2016/8/16,567.24
2016/8/17,577.76
2016/8/18,573.71
2016/8/19,574.34
2016/8/20,576.08
2016/8/21,581.94
2016/8/22,581.31
2016/8/23,586.77
2016/8/24,583.41
2016/8/25,580.18
2016/8/26,577.75
2016/8/27,579.45
2016/8/28,569.83
2016/8/29,574.07
2016/8/30,574.11
2016/8/31,577.59
2016/9/1,575.55
2016/9/2,572.41
2016/9/3,575.55
2016/9/4,598.59
2016/9/5,608.99
2016/9/6,606.51
2016/9/7,610.57
2016/9/8,614.64
2016/9/9,626.35
2016/9/10,622.93
2016/9/11,623.42
2016/9/12,607.01
2016/9/13,608.03
2016/9/14,608.84
2016/9/15,610.59
2016/9/16,607.25
2016/9/17,607.22
2016/9/18,606.28
2016/9/19,609.87
2016/9/20,609.25
2016/9/21,603.59
